Title,Estado,Edad,Tematica,Inicio_evento,Fin_evento,Lugar,Created
7473,finalizado,6,n/a,2024-05-19T14:23:00Z,2024-05-19T03:00:00Z,SUM,2023-09-08T14:27:24Z
8096,confirmado,3,No sabemos,2024-05-14T19:30:00Z,2024-05-14T22:00:00Z,Casa,2023-10-31T10:03:25Z
8222,completado,1,animalitos en safari,2024-06-30T16:00:00Z,2024-06-30T20:00:00Z,Casa,2023-11-08T15:09:40Z
8319,confirmado,1,mickey y sus amigos,2024-06-15T03:00:00Z,2024-06-15T03:00:00Z,Salón,2023-11-15T18:21:22Z
8584,confirmado,1,Carrusel,2024-08-06T22:00:00Z,2024-08-07T01:00:00Z,Salón,2023-12-17T19:01:35Z
8642,confirmado,1,Safari mickey,2024-07-13T20:30:00Z,2024-07-14T01:30:00Z,Salón,2024-01-04T20:00:41Z
8648,confirmado,1,Conejita,2024-07-06T07:18:00Z,2024-07-06T11:18:00Z,Salón,2024-01-05T03:25:33Z
8666,confirmado,9,Spiderman,2024-08-31T20:00:00Z,2024-08-31T22:30:00Z,Salón,2024-01-09T00:36:25Z
8667,confirmado,30,Animal print,2024-10-26T23:00:00Z,2024-10-26T04:30:00Z,Casa,2024-01-09T15:21:01Z
8702,confirmado,1,granja de zenon,2024-05-18T04:30:00Z,2024-05-18T07:30:00Z,Quinta,2024-01-11T12:34:50Z
8703,confirmado,1,GRANJA DE ZENON,2024-05-18T04:30:00Z,2024-05-18T07:30:00Z,Quinta,2024-01-11T13:03:08Z
8712,confirmado,2,granja,2024-05-31T21:00:00Z,2024-06-01T00:00:00Z,Salón,2024-01-11T15:24:11Z
8722,confirmado,5,princesas,2024-07-13T15:00:00Z,2024-07-13T18:00:00Z,Salón,2024-01-14T03:34:39Z
8730,confirmado,5,speackerman,2024-05-17T16:00:00Z,2024-05-17T20:00:00Z,Salón,2024-01-15T15:05:02Z
8757,confirmado,1,arco iris boho,2024-06-15T18:48:00Z,2024-06-15T03:00:00Z,Salón,2024-01-17T18:51:53Z
8764,confirmado,3,Cars - montaje circular ,2024-10-12T14:00:00Z,2024-10-12T17:00:00Z,Salón,2024-01-19T00:16:18Z
8770,confirmado,0,bautismo,2024-05-18T16:00:00Z,2024-05-18T20:00:00Z,Salón,2024-01-20T22:00:00Z
8773,confirmado,1,Perros,2024-06-08T16:00:00Z,2024-06-08T08:00:00Z,Salón,2024-01-21T21:23:20Z
8775,confirmado,1,Plim plim,2024-06-22T15:00:00Z,2024-06-22T20:00:00Z,Salón,2024-01-22T01:18:52Z
8780,confirmado,1,Minie (vestido rojo),2024-07-27T15:00:00Z,2024-07-27T03:00:00Z,SUM,2024-01-22T16:16:15Z
8786,confirmado,1,Carrusel,2024-07-21T15:00:00Z,2024-07-21T22:00:00Z,SUM,2024-01-23T14:49:17Z
8798,confirmado,2,no aplica,2024-05-28T13:42:00Z,2024-05-28T03:00:00Z,SUM,2024-01-24T13:49:55Z
8806,confirmado,1,Fondo del mar,2024-11-09T15:00:00Z,2024-11-09T21:00:00Z,Quinta,2024-01-25T00:48:18Z
8836,finalizado,1,Mickey Mouse,2024-05-12T17:00:00Z,2024-05-12T20:00:00Z,Salón,2024-01-30T16:08:01Z
8837,confirmado,1,Mickey mouse,2024-05-12T17:00:00Z,2024-05-12T20:00:00Z,Salón,2024-01-30T17:02:39Z
8849,confirmado,5,hombre araña-superman-batman-hulk,2024-08-24T20:00:00Z,2024-08-24T23:00:00Z,Salón,2024-01-31T18:39:33Z
8871,finalizado,3,Minni,2024-05-25T20:00:00Z,2024-05-25T23:00:00Z,Salón,2024-02-03T01:19:29Z
8912,finalizado,4,peppa pig,2024-06-13T03:23:00Z,2024-06-13T03:00:00Z,Casa,2024-02-07T22:01:49Z
8915,finalizado,3,Minnie Patisserie,2024-06-06T20:00:00Z,2024-06-06T22:30:00Z,Salón,2024-02-08T12:53:54Z
8917,confirmado,1,safari premium,2024-09-21T15:00:00Z,2024-09-22T00:00:00Z,Casa,2024-02-08T15:30:41Z
8937,confirmado,5,Harry Potter,2024-06-01T15:00:00Z,2024-06-01T20:00:00Z,SUM,2024-02-11T20:05:33Z
8945,confirmado,1,selva bebés. ,2024-07-27T03:00:00Z,2024-07-27T03:00:00Z,Casa,2024-02-13T18:26:17Z
8941,confirmado,0,cars,2024-09-01T03:00:00Z,2024-09-01T03:00:00Z,SUM,2024-02-14T14:05:20Z
8949,completado,5,mariposa,2024-06-29T18:00:00Z,2024-06-29T22:00:00Z,Casa,2024-02-14T14:06:50Z
8950,confirmado,1,conejita,2024-06-08T16:00:00Z,2024-06-08T20:00:00Z,SUM,2024-02-14T14:07:56Z
8968,finalizado,2,vengadores,2024-05-19T22:30:00Z,2024-05-20T01:30:00Z,Casa,2024-02-14T18:46:10Z
8972,finalizado,5,Aún no lo sabemos,2024-05-12T18:00:00Z,2024-05-12T23:00:00Z,Casa,2024-02-14T20:19:40Z
8974,confirmado,1,a confirmar,2024-08-03T15:00:00Z,2024-08-03T19:00:00Z,SUM,2024-02-14T23:34:41Z
8975,confirmado,1,A definir,2024-05-25T19:00:00Z,2024-05-25T22:00:00Z,SUM,2024-02-15T02:36:20Z
8991,confirmado,5,Princesa Jazmin,2024-09-14T20:00:00Z,2024-09-14T22:30:00Z,Salón,2024-02-18T14:53:24Z
8992,confirmado,1,Casamiento,2024-11-08T16:30:00Z,2024-11-08T21:30:00Z,Quinta,2024-02-18T17:47:25Z
9030,finalizado,4,"Princesas disney (rapunzel, la bella, cenicienta, valiente, la bella durmiente y blancanieves )",2024-06-01T16:00:00Z,2024-06-01T21:00:00Z,Casa,2024-02-19T16:42:42Z
9045,confirmado,2,Frozen,2024-07-13T18:00:00Z,2024-07-13T21:00:00Z,Casa,2024-02-21T14:24:52Z
9050,confirmado,1,Ciervo bebé.,2024-06-08T17:00:00Z,2024-06-08T20:00:00Z,Otro,2024-02-21T21:53:13Z
9051,confirmado,6,Cenicienta,2024-08-31T20:00:00Z,2024-08-31T23:00:00Z,Salón,2024-02-22T02:07:01Z
9052,confirmado,0,Super Mario Odyssey,2024-05-25T15:00:00Z,2024-05-25T23:00:00Z,Casa,2024-02-22T13:25:39Z
9071,confirmado,2,CUMPLEAÑOS DE 2 AÑOS,2024-08-03T14:00:00Z,2024-08-03T19:00:00Z,SUM,2024-02-27T02:08:37Z
9074,confirmado,2,Candyland,2024-06-02T17:00:00Z,2024-06-02T20:00:00Z,Salón,2024-02-27T15:06:08Z
9081,confirmado,1,PLIM PLIM,2024-09-07T12:00:00Z,2024-09-07T21:00:00Z,SUM,2024-02-28T15:09:18Z
9088,confirmado,1,PLIM PLIM,2024-09-07T12:00:00Z,2024-09-07T21:00:00Z,SUM,2024-02-29T14:51:32Z
9092,confirmado,1,Elefantes,2024-08-03T16:00:00Z,2024-08-03T20:00:00Z,Salón,2024-03-01T13:44:06Z
9099,confirmado,3,Miniie,2024-10-13T18:00:00Z,2024-10-13T23:00:00Z,Casa,2024-03-02T00:24:46Z
9102,confirmado,8,Kuromi,2024-05-17T21:00:00Z,2024-05-17T23:30:00Z,Salón,2024-03-02T14:59:50Z
9103,confirmado,2,blipi,2024-06-08T18:00:00Z,2024-06-08T20:30:00Z,Salón,2024-03-02T18:15:46Z
9107,confirmado,6,A confirmar,2024-11-04T20:00:00Z,2024-11-04T11:00:00Z,Salón,2024-03-04T15:02:07Z
9117,confirmado,4,frozen,2024-07-27T03:00:00Z,2024-07-27T03:00:00Z,Casa,2024-03-04T18:02:12Z
9118,confirmado,4,FROZEN,2024-07-20T19:00:00Z,2024-07-20T22:00:00Z,Casa,2024-03-04T18:09:57Z
9120,confirmado,1,fONDO DEL MAR,2024-06-23T18:32:00Z,2024-06-23T03:00:00Z,Salón,2024-03-04T18:39:50Z
9121,finalizado,1,Arcoiris color pastel,2024-06-22T16:00:00Z,2024-06-22T21:00:00Z,Quinta,2024-03-06T22:51:56Z
9151,confirmado,1,winnie pooh bebé,2024-11-10T00:00:00Z,2024-11-09T04:30:00Z,Salón,2024-03-07T01:05:20Z
9152,completado,1,Arcoíris y ositos,2024-06-30T15:00:00Z,2024-06-30T21:00:00Z,Salón,2024-03-07T02:16:57Z
9156,finalizado,5,La sirenita,2024-06-14T20:30:00Z,2024-06-14T22:30:00Z,Salón,2024-03-07T18:05:46Z
9158,finalizado,3,Casita de gabby,2024-06-08T15:00:00Z,2024-06-08T22:00:00Z,Quinta,2024-03-07T19:02:03Z
9161,confirmado,2,Minnie Vintage,2024-08-03T20:00:00Z,2024-08-03T23:00:00Z,Salón,2024-03-08T15:16:51Z
9163,confirmado,1,confirmar,2024-07-27T16:00:00Z,2024-07-27T19:00:00Z,Salón,2024-03-08T15:26:50Z
9175,confirmado,1,Mickey Mouse,2024-08-03T15:00:00Z,2024-08-03T20:00:00Z,SUM,2024-03-10T17:54:59Z
9188,finalizado,1,Animalitos del bosque,2024-06-15T21:00:00Z,2024-06-15T03:00:00Z,Casa,2024-03-12T16:02:40Z
9199,finalizado,2,mickey carrera,2024-05-26T16:30:00Z,2024-05-26T03:00:00Z,Salón,2024-03-13T22:47:09Z
5459,confirmado,4,Elsa Frozen 2!,2024-08-11T00:30:00Z,2024-08-10T03:00:00Z,Salón,2024-03-14T18:02:04Z
9203,confirmado,1,Conejita,2024-10-13T16:00:00Z,2024-10-13T21:00:00Z,Casa,2024-03-14T21:04:32Z
9211,confirmado,1,Mickey Safari,2024-07-27T15:30:00Z,2024-07-27T20:30:00Z,Quinta,2024-03-15T02:16:21Z
9217,confirmado,6, LA BELLA Y LA BESTIA ,2024-06-07T20:00:00Z,2024-06-07T23:00:00Z,SUM,2024-03-15T15:33:17Z
9223,confirmado,3,Hoy wheels,2024-05-26T20:00:00Z,2024-05-26T23:00:00Z,Salón,2024-03-15T23:32:31Z
9229,confirmado,5,Batman,2024-09-30T20:00:00Z,2024-10-01T00:00:00Z,SUM,2024-03-16T22:04:07Z
9231,finalizado,5,Hongos y mariposas,2024-06-17T17:30:00Z,2024-06-17T20:00:00Z,Casa,2024-03-17T15:36:25Z
9236,confirmado,5,Superhéroes,2024-08-31T17:30:00Z,2024-08-31T20:00:00Z,Salón,2024-03-17T22:19:27Z
9237,confirmado,1,Animales de la selva,2024-07-21T16:00:00Z,2024-07-21T21:00:00Z,SUM,2024-03-18T00:01:44Z
9238,confirmado,3,minnie,2024-06-30T14:00:00Z,2024-06-30T17:00:00Z,Salón,2024-03-18T01:33:58Z
9258,confirmado,1,Zorritos,2024-06-15T16:00:00Z,2024-06-15T22:00:00Z,Quinta,2024-03-19T01:36:16Z
9260,confirmado,5, ENCANTO ,2024-06-09T13:45:00Z,2024-06-09T03:00:00Z,Salón,2024-03-19T13:49:43Z
9264,confirmado,5,Minnie rosa,2024-05-12T18:00:00Z,2024-05-12T21:30:00Z,Casa,2024-03-19T19:47:04Z
9266,confirmado,1,Pokemon,2024-05-12T16:00:00Z,2024-05-12T19:00:00Z,SUM,2024-03-19T20:39:16Z
9269,finalizado,1,abejita,2024-05-18T19:30:00Z,2024-05-18T03:00:00Z,Otro,2024-03-20T14:15:06Z
9267,finalizado,1,Safari,2024-06-09T15:00:00Z,2024-06-09T22:30:00Z,SUM,2024-03-20T22:13:45Z
6854,confirmado,40,shimmer,2024-06-02T00:00:00Z,2024-06-01T03:00:00Z,Salón,2024-03-21T18:15:35Z
9287,confirmado,2,La Granja de Zenón,2024-06-22T13:00:00Z,2024-06-22T19:00:00Z,Salón,2024-03-22T15:03:16Z
9289,confirmado,1,confirmar,2024-09-29T17:13:00Z,2024-09-29T03:00:00Z,Casa,2024-03-22T17:20:15Z
9293,confirmado,1,Mickey safari,2024-07-07T14:30:00Z,2024-07-07T17:30:00Z,Salón,2024-03-23T17:24:57Z
9294,confirmado,1,Ardillita,2024-07-24T19:00:00Z,2024-07-24T23:00:00Z,Salón,2024-03-24T14:08:38Z
9299,confirmado,1,Safari ,2024-07-08T15:00:00Z,2024-07-08T21:00:00Z,Salón,2024-03-24T14:45:45Z
9302,confirmado,1,pasteles,2024-05-18T20:00:00Z,2024-05-19T01:00:00Z,Salón,2024-03-24T16:50:56Z
9305,confirmado,3,Paw patrol,2024-07-28T17:30:00Z,2024-07-28T20:00:00Z,Salón,2024-03-25T13:09:37Z
9308,confirmado,1,conejita,2024-05-18T16:00:00Z,2024-05-18T03:00:00Z,Salón,2024-03-25T13:49:20Z
9311,confirmado,2,n/a,2024-06-01T18:00:00Z,2024-06-01T03:00:00Z,Casa,2024-03-25T16:33:24Z
9313,confirmado,1,Margaritas,2024-08-03T15:30:00Z,2024-08-03T20:30:00Z,SUM,2024-03-25T16:44:27Z
9314,confirmado,5,Spaiderman,2024-09-15T20:00:00Z,2024-09-15T23:00:00Z,Salón,2024-03-25T17:35:29Z
9317,confirmado,1,arcoiris,2024-05-12T16:30:00Z,2024-05-12T20:30:00Z,Salón,2024-03-25T21:44:33Z
9319,confirmado,5,Spaiderman,2024-09-15T20:00:00Z,2024-09-15T23:00:00Z,Salón,2024-03-25T23:59:44Z
9320,confirmado,3,Skye de Paw Patrol,2024-06-13T19:45:00Z,2024-06-13T22:15:00Z,Salón,2024-03-26T00:46:58Z
9322,confirmado,1,Piglet bebe (cerdito de Winnie Pooh version bebe),2024-05-18T14:00:00Z,2024-05-18T19:00:00Z,SUM,2024-03-26T13:19:23Z
9324,confirmado,3,mario,2024-07-14T16:00:00Z,2024-07-14T21:00:00Z,Quinta,2024-03-27T16:54:05Z
